City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
238,Sioux Lookout,CA,2020-02-23 02:12:37,50.1,-91.92,35.6,79,40,2.3
239,Saskylakh,RU,2020-02-23 02:12:37,71.92,114.08,5.07,95,100,9.22
240,Ponca City,US,2020-02-23 02:12:37,36.71,-97.09,55.4,66,1,9.17
241,Macaubas,BR,2020-02-23 02:12:37,-13.02,-42.7,70.57,93,79,2.8
242,Saldanha,ZA,2020-02-23 02:12:37,-33.01,17.94,64.4,63,0,9.17
243,Amot,NO,2020-02-23 02:12:38,59.57,7.99,37.0,83,3,15.7
244,Klaksvik,FO,2020-02-23 02:12:38,62.23,-6.59,33.8,74,100,11.36
245,Kodiak,US,2020-02-23 02:09:12,57.79,-152.41,19.4,73,90,13.87
246,Half Moon Bay,US,2020-02-23 02:12:38,37.46,-122.43,55.4,71,75,13.87
247,Imbituba,BR,2020-02-23 02:12:39,-28.24,-48.67,68.0,77,0,9.17
248,Camapua,BR,2020-02-23 02:12:39,-19.53,-54.04,67.21,88,28,3.2
249,Opuwo,NA,2020-02-23 02:12:39,-18.06,13.84,66.69,29,100,2.39
250,College,US,2020-02-23 02:10:49,64.86,-147.8,8.6,71,75,3.36
251,Soyo,AO,2020-02-23 02:12:39,-6.13,12.37,81.03,90,100,7.52
252,Maragogi,BR,2020-02-23 02:12:40,-9.01,-35.22,81.82,81,98,13.76
253,Vestmannaeyjar,IS,2020-02-23 02:12:40,63.44,-20.27,39.42,55,74,25.41
254,Esperance,AU,2020-02-23 02:12:40,-33.87,121.9,75.2,64,62,6.93
255,Port Blair,IN,2020-02-23 02:07:53,11.67,92.75,81.57,77,100,15.39
256,Japura,ID,2020-02-23 02:12:41,-0.32,102.35,82.8,73,38,4.52
257,Wakkanai,JP,2020-02-23 02:12:41,45.41,141.67,32.0,84,75,28.86
258,Osorno,CL,2020-02-23 02:11:48,-40.57,-73.15,55.96,74,0,3.15
259,Volksrust,ZA,2020-02-23 02:12:41,-27.37,29.88,61.12,99,100,4.81
260,Conde,BR,2020-02-23 02:12:42,-7.26,-34.91,80.6,88,20,5.82
261,Kilis,TR,2020-02-23 02:12:42,36.72,37.12,42.8,93,75,3.36
262,Sitka,US,2020-02-23 02:08:41,57.05,-135.33,35.6,74,90,10.29
263,Kuryk,KZ,2020-02-23 02:12:42,43.2,51.65,47.26,78,100,11.5
264,Luanda,AO,2020-02-23 02:12:42,-8.84,13.23,77.0,94,75,3.36
265,Henties Bay,NA,2020-02-23 02:12:43,-22.12,14.28,63.0,91,39,1.99
266,Ahipara,NZ,2020-02-23 02:12:43,-35.17,173.17,67.26,67,13,21.94
267,Port-Cartier,CA,2020-02-23 02:10:30,50.03,-66.87,30.0,79,40,5.82
268,San Vicente,AR,2020-02-23 02:12:44,-26.62,-54.13,57.42,58,0,5.7
269,Marsh Harbour,BS,2020-02-23 02:12:44,26.54,-77.06,67.59,71,2,21.41
270,Nemuro,JP,2020-02-23 02:12:44,43.32,145.57,35.6,69,75,14.99
271,Labuhan,ID,2020-02-23 02:09:34,-6.88,112.21,84.27,77,54,8.03
272,Rio Gallegos,AR,2020-02-23 02:11:00,-51.62,-69.22,64.4,42,33,25.28
273,Castrovillari,IT,2020-02-23 02:12:45,39.82,16.21,39.0,59,78,1.36
274,Tura,IN,2020-02-23 02:12:45,25.52,90.22,77.29,39,100,4.03
275,Coquimbo,CL,2020-02-23 02:12:45,-29.95,-71.34,60.8,82,1,6.93
276,Anyama,CI,2020-02-23 02:12:46,5.49,-4.05,82.4,94,20,6.93
277,Los Llanos De Aridane,ES,2020-02-23 02:12:46,28.66,-17.92,71.6,53,100,14.99
278,Trairi,BR,2020-02-23 02:12:46,-3.28,-39.27,72.32,88,100,1.79
279,Canalete,CO,2020-02-23 02:12:46,8.68,-76.2,82.4,74,75,6.93
280,Naryan-Mar,RU,2020-02-23 02:12:47,67.67,53.09,32.31,88,100,24.76
281,Takoradi,GH,2020-02-23 02:12:47,4.88,-1.76,78.01,96,72,3.2
282,Nizhnevartovsk,RU,2020-02-23 02:12:47,60.93,76.55,1.4,84,15,2.24
283,Venlo,NL,2020-02-23 02:09:55,51.37,6.17,50.0,87,75,13.87
284,West Wendover,US,2020-02-23 02:10:31,40.74,-114.07,39.2,48,1,4.7
285,Kirakira,SB,2020-02-23 02:12:48,-10.45,161.92,83.34,81,9,7.0
286,Purpe,RU,2020-02-23 02:12:48,64.48,76.69,10.0,88,87,21.5
287,Nathdwara,IN,2020-02-23 02:09:03,24.93,73.82,55.4,87,0,2.24
288,Emerald,AU,2020-02-23 02:12:49,-23.53,148.17,80.6,69,75,19.46
289,Apatou,GF,2020-02-23 02:12:49,5.16,-54.35,73.06,98,52,2.57
290,Savona,IT,2020-02-23 02:12:49,44.3,8.27,54.0,87,40,2.24
291,Ilulissat,GL,2020-02-23 02:12:50,69.22,-51.1,1.4,45,100,13.87
292,Fuxin,CN,2020-02-23 02:11:49,42.02,121.66,42.17,22,99,19.53
293,Asyut,EG,2020-02-23 02:12:50,27.18,31.18,46.76,64,0,6.31
294,Camacha,PT,2020-02-23 02:12:51,33.08,-16.33,64.4,82,40,29.97
295,Lavrentiya,RU,2020-02-23 02:12:06,65.58,-171.0,-15.34,94,0,4.21
296,Narsaq,GL,2020-02-23 02:12:52,60.92,-46.05,21.2,79,100,10.29
297,Orange,US,2020-02-23 02:12:52,33.7,-117.77,60.8,67,75,9.17
298,Berlevag,NO,2020-02-23 02:09:27,70.86,29.09,34.02,79,0,26.31
299,Avenal,US,2020-02-23 02:12:53,36.0,-120.13,60.8,71,40,6.93
300,Omsukchan,RU,2020-02-23 02:10:05,62.53,155.8,-8.12,81,99,1.92
301,Mecca,SA,2020-02-23 02:11:56,21.43,39.83,66.04,56,0,0.89
302,Voyvozh,RU,2020-02-23 02:12:54,62.89,54.96,28.92,88,100,15.26
303,Deyang,CN,2020-02-23 02:12:54,31.13,104.38,61.0,60,99,1.34
304,Muli,MV,2020-02-23 02:12:54,2.92,73.57,82.89,80,93,18.77
